Experiment,Participant,Item,Order,Condition,Match,AntecedentNumber,NounGender,TargetResponseIdentical,ResponseComplete,Structure,NumberError,GenderError,OtherDifferences,Segment,Duration,Pause,Syllable
experiment1,s1,50,1,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,adverb,450,0,4
experiment1,s1,50,1,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,antecedent,500,NA,4
experiment1,s1,50,1,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,attractor,530,0,4
experiment1,s1,50,1,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,onset,2266,NA,NA
experiment1,s1,50,1,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,pronoun,480,0,3
experiment1,s1,50,1,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,verb,540,0,4
experiment1,s1,50,1,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,930,0,7
experiment1,s1,44,2,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,adverb,420,0,4
experiment1,s1,44,2,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,antecedent,930,NA,4
experiment1,s1,44,2,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,attractor,500,0,4
experiment1,s1,44,2,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,onset,1456,NA,NA
experiment1,s1,44,2,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,pronoun,300,0,2
experiment1,s1,44,2,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,verb,510,0,4
experiment1,s1,44,2,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,720,0,6
experiment1,s1,55,3,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
experiment1,s1,55,3,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,55,3,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,55,3,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,onset,NA,NA,NA
experiment1,s1,55,3,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,55,3,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,55,3,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,17,4,ps,mismatch,plural,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
