ID	Item	Time	Group	Block	TaskSwitch	RT
1	13	Baseline	No_Faking	Compatible	Yes	795
1	11	Baseline	No_Faking	Compatible	No	551
1	5	Baseline	No_Faking	Compatible	Yes	656
1	5	Baseline	No_Faking	Compatible	No	477
1	12	Baseline	No_Faking	Compatible	Yes	668
1	12	Baseline	No_Faking	Compatible	No	412
1	20	Baseline	No_Faking	Compatible	No	634
1	9	Baseline	No_Faking	Compatible	Yes	656
1	9	Baseline	No_Faking	Compatible	No	464
1	17	Baseline	No_Faking	Compatible	Yes	638
1	10	Baseline	No_Faking	Compatible	Yes	588
1	1	Baseline	No_Faking	Compatible	No	883
1	1	Baseline	No_Faking	Compatible	No	420
1	8	Baseline	No_Faking	Compatible	No	731
1	8	Baseline	No_Faking	Compatible	No	567
1	19	Baseline	No_Faking	Compatible	Yes	1455
1	19	Baseline	No_Faking	Compatible	No	642
1	3	Baseline	No_Faking	Compatible	Yes	686
1	18	Baseline	No_Faking	Compatible	Yes	756
1	4	Baseline	No_Faking	Compatible	Yes	672
1	7	Baseline	No_Faking	Compatible	No	623
1	13	Baseline	No_Faking	Compatible	Yes	617
1	10	Baseline	No_Faking	Compatible	Yes	660
1	11	Baseline	No_Faking	Compatible	Yes	555
1	2	Baseline	No_Faking	Compatible	Yes	688
1	20	Baseline	No_Faking	Compatible	Yes	623
1	18	Baseline	No_Faking	Compatible	No	950
1	4	Baseline	No_Faking	Compatible	Yes	554
1	6	Baseline	No_Faking	Compatible	No	860
1	6	Baseline	No_Faking	Compatible	No	425
1	15	Baseline	No_Faking	Compatible	Yes	753
1	15	Baseline	No_Faking	Compatible	No	443
1	2	Baseline	No_Faking	Compatible	Yes	532
1	14	Baseline	No_Faking	Compatible	Yes	522
1	14	Baseline	No_Faking	Compatible	No	418
1	3	Baseline	No_Faking	Compatible	Yes	555
1	7	Baseline	No_Faking	Compatible	No	621
1	17	Baseline	No_Faking	Compatible	Yes	640
1	16	Baseline	No_Faking	Compatible	No	529
1	16	Baseline	No_Faking	Compatible	No	471
1	6	Baseline	No_Faking	Compatible	Yes	821
1	9	Baseline	No_Faking	Compatible	No	486
1	19	Baseline	No_Faking	Compatible	Yes	659
1	19	Baseline	No_Faking	Compatible	No	397
1	6	Baseline	No_Faking	Compatible	Yes	544
1	3	Baseline	No_Faking	Compatible	No	721
1	3	Baseline	No_Faking	Compatible	No	348
1	1	Baseline	No_Faking	Compatible	No	526
1	1	Baseline	No_Faking	Compatible	No	334
1	10	Baseline	No_Faking	Compatible	No	699
1	18	Baseline	No_Faking	Compatible	Yes	696
1	18	Baseline	No_Faking	Compatible	No	420
1	16	Baseline	No_Faking	Compatible	No	554
1	2	Baseline	No_Faking	Compatible	Yes	543
1	14	Baseline	No_Faking	Compatible	Yes	643
1	12	Baseline	No_Faking	Compatible	No	369
1	15	Baseline	No_Faking	Compatible	No	451
1	15	Baseline	No_Faking	Compatible	No	412
1	7	Baseline	No_Faking	Compatible	Yes	650
1	7	Baseline	No_Faking	Compatible	No	470
1	16	Baseline	No_Faking	Compatible	Yes	577
1	10	Baseline	No_Faking	Compatible	Yes	368
1	20	Baseline	No_Faking	Compatible	Yes	622
1	9	Baseline	No_Faking	Compatible	Yes	512
1	20	Baseline	No_Faking	Compatible	Yes	575
1	2	Baseline	No_Faking	Compatible	Yes	704
1	13	Baseline	No_Faking	Compatible	Yes	553
1	13	Baseline	No_Faking	Compatible	No	428
1	4	Baseline	No_Faking	Compatible	Yes	553
1	4	Baseline	No_Faking	Compatible	No	386
1	11	Baseline	No_Faking	Compatible	Yes	464
1	5	Baseline	No_Faking	Compatible	Yes	495
1	5	Baseline	No_Faking	Compatible	No	379
1	17	Baseline	No_Faking	Compatible	Yes	598
1	17	Baseline	No_Faking	Compatible	No	643
1	11	Baseline	No_Faking	Compatible	No	626
1	8	Baseline	No_Faking	Compatible	Yes	794
1	14	Baseline	No_Faking	Compatible	Yes	627
1	12	Baseline	No_Faking	Compatible	No	620
1	8	Baseline	No_Faking	Compatible	Yes	968
1	18	Baseline	No_Faking	Incompatible	Yes	818
1	18	Baseline	No_Faking	Incompatible	No	389
1	10	Baseline	No_Faking	Incompatible	Yes	727
1	11	Baseline	No_Faking	Incompatible	Yes	1258
1	11	Baseline	No_Faking	Incompatible	No	359
1	16	Baseline	No_Faking	Incompatible	No	604
1	3	Baseline	No_Faking	Incompatible	Yes	661
1	15	Baseline	No_Faking	Incompatible	Yes	877
1	1	Baseline	No_Faking	Incompatible	Yes	924
1	1	Baseline	No_Faking	Incompatible	No	388
1	16	Baseline	No_Faking	Incompatible	Yes	1226
1	3	Baseline	No_Faking	Incompatible	Yes	1496
1	2	Baseline	No_Faking	Incompatible	No	576
1	13	Baseline	No_Faking	Incompatible	Yes	844
1	6	Baseline	No_Faking	Incompatible	Yes	2021
1	6	Baseline	No_Faking	Incompatible	No	1375
1	10	Baseline	No_Faking	Incompatible	No	769
1	13	Baseline	No_Faking	Incompatible	Yes	1738
1	14	Baseline	No_Faking	Incompatible	No	1024
1	9	Baseline	No_Faking	Incompatible	Yes	1154
1	19	Baseline	No_Faking	Incompatible	Yes	1238
1	8	Baseline	No_Faking	Incompatible	Yes	1394
1	8	Baseline	No_Faking	Incompatible	No	525
1	7	Baseline	No_Faking	Incompatible	No	587
1	7	Baseline	No_Faking	Incompatible	No	457
1	4	Baseline	No_Faking	Incompatible	No	814
1	4	Baseline	No_Faking	Incompatible	No	426
1	9	Baseline	No_Faking	Incompatible	No	784
1	12	Baseline	No_Faking	Incompatible	Yes	1202
1	12	Baseline	No_Faking	Incompatible	No	488
1	17	Baseline	No_Faking	Incompatible	No	704
1	17	Baseline	No_Faking	Incompatible	No	495
1	5	Baseline	No_Faking	Incompatible	Yes	1037
1	14	Baseline	No_Faking	Incompatible	Yes	793
1	19	Baseline	No_Faking	Incompatible	No	695
1	2	Baseline	No_Faking	Incompatible	Yes	738
1	20	Baseline	No_Faking	Incompatible	Yes	701
1	20	Baseline	No_Faking	Incompatible	No	462
1	5	Baseline	No_Faking	Incompatible	Yes	750
1	15	Baseline	No_Faking	Incompatible	Yes	837
1	7	Baseline	No_Faking	Incompatible	Yes	1018
1	2	Baseline	No_Faking	Incompatible	No	920
1	2	Baseline	No_Faking	Incompatible	No	477
1	6	Baseline	No_Faking	Incompatible	No	608
1	15	Baseline	No_Faking	Incompatible	Yes	898
1	15	Baseline	No_Faking	Incompatible	No	371
1	18	Baseline	No_Faking	Incompatible	No	595
1	5	Baseline	No_Faking	Incompatible	Yes	703
1	19	Baseline	No_Faking	Incompatible	Yes	547
1	4	Baseline	No_Faking	Incompatible	Yes	694
1	14	Baseline	No_Faking	Incompatible	Yes	1600
1	14	Baseline	No_Faking	Incompatible	No	414
1	4	Baseline	No_Faking	Incompatible	Yes	864
1	19	Baseline	No_Faking	Incompatible	Yes	785
1	7	Baseline	No_Faking	Incompatible	Yes	842
1	18	Baseline	No_Faking	Incompatible	Yes	590
1	20	Baseline	No_Faking	Incompatible	No	734
1	8	Baseline	No_Faking	Incompatible	Yes	1012
1	8	Baseline	No_Faking	Incompatible	No	404
1	17	Baseline	No_Faking	Incompatible	Yes	640
1	3	Baseline	No_Faking	Incompatible	Yes	835
1	3	Baseline	No_Faking	Incompatible	No	441
1	11	Baseline	No_Faking	Incompatible	Yes	718
1	11	Baseline	No_Faking	Incompatible	No	343
1	16	Baseline	No_Faking	Incompatible	No	655
1	10	Baseline	No_Faking	Incompatible	Yes	647
1	6	Baseline	No_Faking	Incompatible	No	514
1	20	Baseline	No_Faking	Incompatible	Yes	1355
1	12	Baseline	No_Faking	Incompatible	No	643
1	12	Baseline	No_Faking	Incompatible	No	536
1	13	Baseline	No_Faking	Incompatible	No	1295
1	13	Baseline	No_Faking	Incompatible	No	400
1	9	Baseline	No_Faking	Incompatible	Yes	873
1	9	Baseline	No_Faking	Incompatible	No	411
1	5	Baseline	No_Faking	Incompatible	No	748
1	17	Baseline	No_Faking	Incompatible	Yes	1480
1	10	Baseline	No_Faking	Incompatible	Yes	823
1	16	Baseline	No_Faking	Incompatible	Yes	1101
1	1	Baseline	No_Faking	Incompatible	Yes	638
1	1	Baseline	No_Faking	Incompatible	No	388
1	14	Retest	No_Faking	Compatible	Yes	1402
1	14	Retest	No_Faking	Compatible	No	402
1	10	Retest	No_Faking	Compatible	Yes	580
1	12	Retest	No_Faking	Compatible	Yes	824
1	4	Retest	No_Faking	Compatible	Yes	611
1	4	Retest	No_Faking	Compatible	No	404
1	8	Retest	No_Faking	Compatible	No	684
1	19	Retest	No_Faking	Compatible	Yes	670
1	12	Retest	No_Faking	Compatible	No	715
1	10	Retest	No_Faking	Compatible	Yes	656
1	15	Retest	No_Faking	Compatible	Yes	891
1	6	Retest	No_Faking	Compatible	Yes	727
1	11	Retest	No_Faking	Compatible	Yes	540
1	5	Retest	No_Faking	Compatible	Yes	567
1	5	Retest	No_Faking	Compatible	No	388
1	9	Retest	No_Faking	Compatible	No	542
1	9	Retest	No_Faking	Compatible	No	374
1	18	Retest	No_Faking	Compatible	Yes	579
1	18	Retest	No_Faking	Compatible	No	600
1	6	Retest	No_Faking	Compatible	Yes	588
1	19	Retest	No_Faking	Compatible	Yes	592
1	15	Retest	No_Faking	Compatible	No	542
1	11	Retest	No_Faking	Compatible	No	472
1	8	Retest	No_Faking	Compatible	Yes	689
1	2	Retest	No_Faking	Compatible	No	799
1	16	Retest	No_Faking	Compatible	Yes	635
1	1	Retest	No_Faking	Compatible	Yes	698
1	17	Retest	No_Faking	Compatible	Yes	693
1	17	Retest	No_Faking	Compatible	No	653
1	2	Retest	No_Faking	Compatible	Yes	550
1	20	Retest	No_Faking	Compatible	Yes	654
1	20	Retest	No_Faking	Compatible	No	433
1	13	Retest	No_Faking	Compatible	No	561
1	13	Retest	No_Faking	Compatible	No	1286
1	3	Retest	No_Faking	Compatible	Yes	794
1	3	Retest	No_Faking	Compatible	No	462
1	7	Retest	No_Faking	Compatible	No	798
1	7	Retest	No_Faking	Compatible	No	535
1	1	Retest	No_Faking	Compatible	No	598
1	16	Retest	No_Faking	Compatible	Yes	716
1	2	Retest	No_Faking	Compatible	Yes	538
