Item	Word	Task
1	MOHN	Zielkonzeptaufgabe
2	VEILCHEN	Zielkonzeptaufgabe
3	GÄNSEBLÜMCHEN	Zielkonzeptaufgabe
4	ORCHIDEE	Zielkonzeptaufgabe
5	FLIEDER	Zielkonzeptaufgabe
6	KAKERLAKE	Zielkonzeptaufgabe
7	MISTKÄFER	Zielkonzeptaufgabe
8	HORNISSE	Zielkonzeptaufgabe
9	MÜCKE	Zielkonzeptaufgabe
10	SPINNE	Zielkonzeptaufgabe
11	Liebe	Attributaufgabe
12	Loyalität	Attributaufgabe
13	Wohlbefinden	Attributaufgabe
14	Regenbogen	Attributaufgabe
15	Freiheit	Attributaufgabe
16	Verschmutzung	Attributaufgabe
17	Krankheit	Attributaufgabe
18	Trauer	Attributaufgabe
19	Gefängnis	Attributaufgabe
20	Tragödie	Attributaufgabe
