anon_ID,exp_dur_minutes,Accuracy,Sex,age,Version,Task_Nr,Task_Name,trial_Nr,Item,Key_Press,Response,rt,stars_amount,Block_Type,Block_Nr,trial_Block,Familiarity,Target
p01,22.72,0,m,7.73,V2_puoAre,2,V2_stemComp,2,22P_stem.ogg,Q,incorrect,7044,152,stemC,5,1,new,present
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,3,31S_stem.ogg,Q,correct,5546,153,stemC,5,2,new,absent
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,4,17P_stem.ogg,P,correct,3279,154,stemC,5,3,new,present
p01,22.72,0,m,7.73,V2_puoAre,2,V2_stemComp,5,25S_stem.ogg,P,incorrect,4081,154,stemC,5,4,familiar,absent
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,6,02S_stem.ogg,Q,correct,2563,155,stemC,5,5,familiar,absent
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,7,11P_stem.ogg,P,correct,3613,156,stemC,5,6,familiar,present
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,8,03S_stem.ogg,Q,correct,3359,157,stemC,5,7,new,absent
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,9,01P_stem.ogg,P,correct,3903,158,stemC,5,8,familiar,present
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,10,26P_stem.ogg,P,correct,3546,159,stemC,5,9,new,present
p01,22.72,0,m,7.73,V2_puoAre,2,V2_stemComp,11,28P_stem.ogg,Q,incorrect,3341,159,stemC,5,10,new,present
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,12,04S_stem.ogg,Q,correct,3101,160,stemC,5,11,familiar,absent
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,13,07P_stem.ogg,P,correct,2998,161,stemC,5,12,familiar,present
p01,22.72,0,m,7.73,V2_puoAre,2,V2_stemComp,14,23P_stem.ogg,Q,incorrect,5293,161,stemC,5,13,familiar,present
p01,22.72,1,m,7.73,V2_puoAre,2,V2_stemComp,15,06S_stem.ogg,Q,correct,3820,162,stemC,5,14,new,absent
