Item,anon_ID,exp_dur_minutes,Accuracy,Sex,age,Version,Task_Nr,Task_Name,trial_Nr,Key_Press,Response,rt,stars_amount,Block_Type,Block_Nr,trial_Block,Familiarity,Target,item_dur,suffix_onset
01PA.ogg,p55,18.59,1,f,4.44,V2_puoAre,1,V2_onlineTask,21,P,correct,3952,10,learning,1,14,familiar,present,1367,914
01PA.ogg,p42,19.27,1,f,6.48,V2_puoAre,1,V2_onlineTask,178,P,correct,1463,117,recovery,4,45,familiar,present,1367,914
01PA.ogg,p55,18.59,1,f,4.44,V2_puoAre,1,V2_onlineTask,172,P,correct,1481,116,recovery,4,45,familiar,present,1367,914
01PA.ogg,p34,19.46,1,f,6.45,V2_puoAre,1,V2_onlineTask,178,P,correct,1972,112,recovery,4,45,familiar,present,1367,914
01PA.ogg,p73,21.25,1,f,4.01,V1_puoAndo,1,V1_onlineTask,107,Q,correct,2772,82,disruption,3,4,familiar,absent,1367,914
01PA.ogg,p83,20.05,1,f,6.46,V4_staAndo,1,V4_onlineTask,46,Q,correct,1634,26,learning,1,33,familiar,absent,1367,914
01PA.ogg,p51,20.29,1,m,6.26,V4_staAndo,1,V4_onlineTask,46,Q,correct,1885,20,learning,1,33,familiar,absent,1367,914
01PA.ogg,p46,21.19,1,m,6.75,V2_puoAre,1,V2_onlineTask,172,P,correct,2141,149,recovery,4,45,familiar,present,1367,914
01PA.ogg,p76,,1,f,5.95,V2_puoAre,1,V2_onlineTask,67,P,correct,2255,50,learning,2,12,familiar,present,1367,914
01PA.ogg,p85,21.84,1,m,5.15,V1_puoAndo,1,V1_onlineTask,107,Q,correct,2215,61,disruption,3,4,familiar,absent,1367,914
01PA.ogg,p59,,1,f,4.18,V4_staAndo,1,V4_onlineTask,40,Q,correct,11005,27,learning,1,33,familiar,absent,1367,914
01PA.ogg,p84,19.56,1,f,4.47,V4_staAndo,1,V4_onlineTask,175,Q,correct,2364,111,recovery,4,42,familiar,absent,1367,914
01PA.ogg,p25,19.12,1,m,7.59,V2_puoAre,1,V2_onlineTask,67,P,correct,1867,47,learning,2,12,familiar,present,1367,914
01PA.ogg,p38,27.96,1,f,6.79,V2_puoAre,1,V2_onlineTask,178,P,correct,2569,133,recovery,4,45,familiar,present,1367,914
01PA.ogg,p22,43.66,1,m,7.17,V2_puoAre,1,V2_onlineTask,172,P,correct,1941,117,recovery,4,45,familiar,present,1367,914
01PA.ogg,p83,20.05,1,f,6.46,V4_staAndo,1,V4_onlineTask,99,Q,correct,1859,78,learning,2,38,familiar,absent,1367,914
01PA.ogg,p72,21.43,1,m,7.13,V4_staAndo,1,V4_onlineTask,46,Q,correct,2010,28,learning,1,33,familiar,absent,1367,914
01PA.ogg,p01,22.72,1,m,7.73,V2_puoAre,1,V2_onlineTask,172,P,correct,2839,149,recovery,4,45,familiar,present,1367,914
01PA.ogg,p70,27.27,1,f,4.59,V4_staAndo,1,V4_onlineTask,99,Q,correct,2619,53,learning,2,38,familiar,absent,1367,914
01PA.ogg,p16,19.1,1,m,7,V2_puoAre,1,V2_onlineTask,172,P,correct,1498,109,recovery,4,45,familiar,present,1367,914
01PA.ogg,p06,24.11,1,m,6.9,V4_staAndo,1,V4_onlineTask,93,Q,correct,1687,77,learning,2,38,familiar,absent,1367,914
01PA.ogg,p64,25.59,1,f,6.83,V3_staAre,1,V3_onlineTask,114,P,correct,2693,86,disruption,3,11,familiar,present,1367,914
