old_name;new_name;Item;seg_label;seg_start;seg_end;seg_dur;item_dur;suffix_onset
01CFA.wav;01PA.wav;01PA.ogg;puo;1,18;1,441;0,262;1,367;0,914
01CFA.wav;01PA.wav;01PA.ogg;pause;1,441;1,786;0,345;1,367;0,914
01CFA.wav;01PA.wav;01PA.ogg;pass;1,786;2,093;0,307;1,367;0,914
01CFA.wav;01PA.wav;01PA.ogg;are;2,093;2,546;0,453;1,367;0,914
01CFG.wav;01SG.wav;01SG.ogg;sta;1,059;1,485;0,426;1,52;0,994
01CFG.wav;01SG.wav;01SG.ogg;pause;1,485;1,751;0,266;1,52;0,994
01CFG.wav;01SG.wav;01SG.ogg;pass;1,751;2,054;0,303;1,52;0,994
01CFG.wav;01SG.wav;01SG.ogg;ando;2,054;2,579;0,526;1,52;0,994
01NFA.wav;01PG.wav;01PG.ogg;puo;1,179;1,435;0,256;1,446;0,91
01NFA.wav;01PG.wav;01PG.ogg;pause;1,435;1,785;0,35;1,446;0,91
01NFA.wav;01PG.wav;01PG.ogg;pass;1,785;2,09;0,305;1,446;0,91
01NFA.wav;01PG.wav;01PG.ogg;ando;2,09;2,626;0,536;1,446;0,91
01NFG.wav;01SA.wav;01SA.ogg;sta;1,063;1,483;0,42;1,438;0,99
01NFG.wav;01SA.wav;01SA.ogg;pause;1,483;1,749;0,266;1,438;0,99
01NFG.wav;01SA.wav;01SA.ogg;pass;1,749;2,054;0,305;1,438;0,99
01NFG.wav;01SA.wav;01SA.ogg;are;2,054;2,501;0,448;1,438;0,99
02CFA.wav;02PA.wav;02PA.ogg;puo;1,173;1,46;0,287;1,219;0,762
02CFA.wav;02PA.wav;02PA.ogg;pause;1,46;1,679;0,219;1,219;0,762
02CFA.wav;02PA.wav;02PA.ogg;dom;1,679;1,935;0,256;1,219;0,762
02CFA.wav;02PA.wav;02PA.ogg;are;1,935;2,392;0,457;1,219;0,762
02CFG.wav;02SG.wav;02SG.ogg;sta;1,101;1,524;0,423;1,416;0,86
02CFG.wav;02SG.wav;02SG.ogg;pause;1,524;1,706;0,182;1,416;0,86
02CFG.wav;02SG.wav;02SG.ogg;dom;1,706;1,962;0,256;1,416;0,86
02CFG.wav;02SG.wav;02SG.ogg;ando;1,962;2,517;0,556;1,416;0,86
02NFA.wav;02PG.wav;02PG.ogg;puo;1,173;1,46;0,288;1,308;0,733
02NFA.wav;02PG.wav;02PG.ogg;pause;1,46;1,64;0,179;1,308;0,733
02NFA.wav;02PG.wav;02PG.ogg;dom;1,64;1,906;0,267;1,308;0,733
02NFA.wav;02PG.wav;02PG.ogg;ando;1,906;2,481;0,575;1,308;0,733
02NFG.wav;02SA.wav;02SA.ogg;sta;1,101;1,519;0,418;1,316;0,864
02NFG.wav;02SA.wav;02SA.ogg;pause;1,519;1,7;0,181;1,316;0,864
02NFG.wav;02SA.wav;02SA.ogg;dom;1,7;1,964;0,265;1,316;0,864
02NFG.wav;02SA.wav;02SA.ogg;are;1,964;2,417;0,452;1,316;0,864
03CFA.wav;03PA.wav;03PA.ogg;puo;1,172;1,457;0,285;1,331;0,88
03CFA.wav;03PA.wav;03PA.ogg;pause;1,457;1,755;0,297;1,331;0,88
03CFA.wav;03PA.wav;03PA.ogg;parl;1,755;2,053;0,298;1,331;0,88
03CFA.wav;03PA.wav;03PA.ogg;are;2,053;2,504;0,451;1,331;0,88
03CFG.wav;03SG.wav;03SG.ogg;sta;1,047;1,522;0,475;1,573;1,046
03CFG.wav;03SG.wav;03SG.ogg;pause;1,522;1,802;0,281;1,573;1,046
03CFG.wav;03SG.wav;03SG.ogg;parl;1,802;2,093;0,291;1,573;1,046
03CFG.wav;03SG.wav;03SG.ogg;ando;2,093;2,621;0,527;1,573;1,046
03NFA.wav;03PG.wav;03PG.ogg;puo;1,171;1,472;0,3;1,408;0,884
03NFA.wav;03PG.wav;03PG.ogg;pause;1,472;1,754;0,283;1,408;0,884
03NFA.wav;03PG.wav;03PG.ogg;parl;1,754;2,055;0,301;1,408;0,884
03NFA.wav;03PG.wav;03PG.ogg;ando;2,055;2,579;0,524;1,408;0,884
03NFG.wav;03SA.wav;03SA.ogg;sta;1,047;1,507;0,46;1,499;1,056
03NFG.wav;03SA.wav;03SA.ogg;pause;1,507;1,802;0,295;1,499;1,056
03NFG.wav;03SA.wav;03SA.ogg;parl;1,802;2,103;0,3;1,499;1,056
03NFG.wav;03SA.wav;03SA.ogg;are;2,103;2,545;0,443;1,499;1,056
04CFA.wav;04PA.wav;04PA.ogg;puo;1,307;1,572;0,265;1,324;0,866
04CFA.wav;04PA.wav;04PA.ogg;pause;1,572;1,843;0,27;1,324;0,866
04CFA.wav;04PA.wav;04PA.ogg;narr;1,843;2,173;0,33;1,324;0,866
04CFA.wav;04PA.wav;04PA.ogg;are;2,173;2,631;0,458;1,324;0,866
04CFG.wav;04SG.wav;04SG.ogg;sta;1,142;1,574;0,433;1,576;1,029
