Subj;random_list;group;nr_list1;nr_list2;item;condition;manip;cond_manip;accuracy
CP01;list1-bra;CP;4;87;ch_t_1_gabi__bra_n2_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;10;81;ch_t_3_nelli_bra_n1_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;13;78;ch_t_1_leni__bra_n1_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;23;68;ch_t_1_lilli_bra_n2_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;34;57;ch_t_3_moni__bra_n1_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;37;54;ch_t_4_leni__bra_n1_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;40;51;ch_t_1_moni__bra_n2_min3;grouped;min3;grouped-min3;1
CP01;list1-bra;CP;43;48;ch_t_2_moni__bra_n1_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;57;34;ch_t_1_nelli_bra_n1_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;64;27;ch_t_2_gabi__bra_n2_min3;grouped;min3;grouped-min3;1
CP01;list1-bra;CP;67;24;ch_t_2_moni__bra_n2_min3;grouped;min3;grouped-min3;0
CP01;list1-bra;CP;83;8;ch_t_2_lilli_bra_n2_min3;grouped;min3;grouped-min3;1
CP01;list1-bra;CP;28;63;ch_t_4_leni__bra_n1_maxLR;grouped;maxLR;grouped-maxLR;1
CP01;list1-bra;CP;32;59;ch_t_2_moni__bra_n2_maxLR;grouped;maxLR;grouped-maxLR;1
CP01;list1-bra;CP;35;56;ch_t_1_leni__bra_n1_maxLR;grouped;maxLR;grouped-maxLR;0
CP01;list1-bra;CP;38;53;ch_t_2_lilli_bra_n2_maxLR;grouped;maxLR;grouped-maxLR;1
CP01;list1-bra;CP;42;49;ch_t_3_nelli_bra_n1_maxLR;grouped;maxLR;grouped-maxLR;1
CP01;list1-bra;CP;45;46;ch_t_3_moni__bra_n1_maxLR;grouped;maxLR;grouped-maxLR;0
CP01;list1-bra;CP;47;44;ch_t_1_lilli_bra_n2_maxLR;grouped;maxLR;grouped-maxLR;0
CP01;list1-bra;CP;58;33;ch_t_1_gabi__bra_n2_maxLR;grouped;maxLR;grouped-maxLR;0
CP01;list1-bra;CP;59;32;ch_t_2_moni__bra_n1_maxLR;grouped;maxLR;grouped-maxLR;0
CP01;list1-bra;CP;60;31;ch_t_1_nelli_bra_n1_maxLR;grouped;maxLR;grouped-maxLR;1
CP01;list1-bra;CP;66;25;ch_t_2_gabi__bra_n2_maxLR;grouped;maxLR;grouped-maxLR;1
CP01;list1-bra;CP;75;16;ch_t_1_moni__bra_n2_maxLR;grouped;maxLR;grouped-maxLR;0
CP01;list1-bra;CP;8;83;ch_t_1_lilli_bra_n2_maxL;grouped;maxL;grouped-maxL;0
CP01;list1-bra;CP;12;79;ch_t_1_moni__bra_n2_maxL;grouped;maxL;grouped-maxL;0
CP01;list1-bra;CP;17;74;ch_t_3_nelli_bra_n1_maxL;grouped;maxL;grouped-maxL;1
CP01;list1-bra;CP;26;65;ch_t_4_leni__bra_n1_maxL;grouped;maxL;grouped-maxL;1
CP01;list1-bra;CP;46;45;ch_t_1_gabi__bra_n2_maxL;grouped;maxL;grouped-maxL;1
CP01;list1-bra;CP;49;42;ch_t_1_leni__bra_n1_maxL;grouped;maxL;grouped-maxL;0
