;X;Subj;group;exp;rep;trial;condition;f0_range1;f0_range2;s4reln1;s8reln2;pause1;pause3;meanf0;list;L1;L1t;H1;H1t;f0n1;slopen1;L2;L2t;H2;H2t;f0n2;slopen2;s4dur;s8dur;p1dur;p2dur;p3dur;p4dur;fp0dur;fp1dur;fp2dur;fp3dur;fp4dur;c1dur;c2dur;utt_dur.ms.;filename;rating_match;item;pause2;pause4;accuracy;rate
1;1;LHDP03;LHDP;repetition;r1;t01;grouped;NA;9,34;15,097;59,061;0;16,626;100.843;l2;NA;NA;96.33;0.59;NA;NA;92.24;01. Jul;158,18;1,42;rise;26.345;54.18;328.41;0;0;374.95;0;0;0;0;0;0;184.55;253.49;2255,15;lhd03_rprod_l2_t01_r1_f_moni__bra;11;rprod_moni__bra;0;0;correct;1
2;2;LHDP03;LHDP;repetition;r1;t03;ungrouped;NA;2,09;39,413;36,202;0;0;91.059;l2;NA;NA;NA;NA;NA;NA;88.29;Jan 56;99,59;1,74;rise;11.214;131.4;117.39;0;0;0;0;0;0;0;0;0;379.17;206.92;1778,19;lhd03_rprod_l2_t03_r1_f_lilli_nob;11;rprod_lilli_nob;0;0;correct;1
3;3;LHDP03;LHDP;repetition;r1;t04;grouped;0,78;10,42;15,326;52,424;0;17,989;96.684;l2;85.1;1;89.03;0.85;flat;-5.272;89.2;Jan 28;162,85;1,64;rise;28.776;46.81;284.4;0;0;381.26;0;0;0;0;0;0;207;227.45;2119,4;lhd03_rprod_l2_t04_r1_f_gabi__bra;11;rprod_gabi__bra;0;0;correct;1
4;4;LHDP03;LHDP;repetition;r1;t05;ungrouped;6,6;6,53;34,656;52,85;0;12,291;104.273;l2;93.48;0.8;136.85;01. Mai;rise;25.497;89.06;Jan 43;129,85;1,68;rise;26.668;152.96;277.79;0;0;256.17;0;0;0;0;0;0;230.48;243.14;2084,3;lhd03_rprod_l2_t05_r1_f_manni_nob;2;rprod_manni_nob;0;0;incorrect;0
5;5;LHDP03;LHDP;repetition;r1;t06;grouped;0,05;12,94;18,731;58,258;0;7,27;95.885;l2;85.85;Jan 14;86.1;0.99;flat;-0.336;81.59;Jan 38;172,26;1,73;rise;36.635;58;324.05;0;0;125.87;0;0;0;0;0;0;156.32;124.98;1731,5;lhd03_rprod_l2_t06_r1_f_nelli_bra;11;rprod_nelli_bra;0;0;correct;1
6;6;LHDP03;LHDP;repetition;r1;t08;ungrouped;4,29;0,36;22,904;27,748;0;0;84.405;l2;89.52;01. Feb;114.69;Jan 21;rise;23.469;87.8;Jan 59;89,65;1,71;flat;3.091;69.97;75.04;0;0;0;0;0;0;0;0;0;251.93;173.77;1468,54;lhd03_rprod_l2_t08_r1_f_moni__nob;11;rprod_moni__nob;0;0;correct;1
7;7;LHDP03;LHDP;repetition;r1;t09;grouped;0,36;12,29;15,487;50,867;0;27,089;92.899;l2;82.85;01. Mai;84.6;Jan 13;flat;4.178;78.33;Jan 42;159,3;1,76;rise;36.711;47.44;278.59;0;0;610.96;0;0;0;0;0;0;153.43;250.08;2255,43;lhd03_rprod_l2_t09_r1_f_manni_bra;11;rprod_manni_bra;0;0;correct;1
8;8;LHDP03;LHDP;repetition;r1;t10;ungrouped;0,54;11,35;14,413;48,017;0;19,775;90.726;l2;82.21;0.9;84.82;01. Mai;flat;3.576;79.21;Jan 41;152,58;1,75;rise;33.578;56.56;262.95;0;0;450.16;0;0;0;0;0;0;184.66;201.82;2276,45;lhd03_rprod_l2_t10_r1_f_nelli_nob;0;rprod_nelli_nob;0;0;incorrect;0
9;9;LHDP03;LHDP;repetition;r1;t11;grouped;0,97;NA;34,288;47,809;0;36,583;109.552;l2;86.17;0.98;91.11;01. Jun;flat;11.856;NA;NA;NA;NA;NA;NA;77.28;259.75;0;0;1088.17;0;0;0;0;0;0;241.13;396.94;2974,54;lhd03_rprod_l2_t11_r1_f_lilli_bra;11;rprod_lilli_bra;0;0;correct;1
10;10;LHDP03;LHDP;repetition;r1;t12;ungrouped;6,83;2,73;25,907;17,605;0;0;90.644;l2;87.34;0.53;129.57;0.73;rise;35.07;76.94;Jan 15;90,07;1,29;rise;18.871;96.56;56.01;0;0;0;0;0;0;0;0;0;197.91;204.21;1582,29;lhd03_rprod_l2_t12_r1_f_gabi__nob;11;rprod_gabi__nob;0;0;correct;1
11;11;LHDP03;LHDP;repetition;r2;t13;grouped;0,5;10,61;15,541;50,049;0;13,687;91.604;l2;85.21;Jan 43;87.7;Jan 54;flat;4.614;79.58;Jan 88;146,84;2,22;rise;30.978;57.33;290.38;0;0;285.94;0;0;0;0;0;0;163.26;257.35;2089,09;lhd03_rprod_l2_t13_r2_f_manni_bra;11;rprod_manni_bra;0;0;correct;1
12;12;LHDP03;LHDP;repetition;r2;t14;ungrouped;4,94;2,55;15,447;23,506;0;0;84.447;l2;79.22;0.65;105.36;0.84;rise;26.63;76.91;Jan 24;89,11;1,4;rise;16.072;96.17;72.96;0;0;0;0;0;0;0;0;0;155.44;166.01;1653,51;lhd03_rprod_l2_t14_r2_f_moni__nob;11;rprod_moni__nob;0;0;correct;1
13;13;LHDP03;LHDP;repetition;r2;t15;grouped;0,45;10,16;20,124;47,352;0;9,685;90.286;l2;84.9;0.85;87.14;0.75;flat;-4.298;79.59;Jan 19;143,14;1,51;rise;30.923;48.49;261.96;0;0;176.02;0;0;0;0;0;0;157.57;223.48;1817,54;lhd03_rprod_l2_t15_r2_f_leni__bra;11;rprod_leni__bra;0;0;correct;1
14;14;LHDP03;LHDP;repetition;r2;t16;ungrouped;5,82;2,51;23,968;26,463;0;0;92.198;l2;86.69;0.53;121.32;0.82;rise;19.56;83.8;Jan 25;96,89;1,55;rise;8.328;130.73;103.38;0;0;0;0;0;0;0;0;0;251.32;222.69;1884,32;lhd03_rprod_l2_t16_r2_f_nelli_nob;11;rprod_nelli_nob;0;0;correct;1
15;15;LHDP03;LHDP;repetition;r2;t17;grouped;0,14;10,68;47,024;60,908;0;22,914;93.518;l2;90.23;0.82;90.98;0.91;flat;1.559;82.26;Jan 23;152,43;1,5;rise;39.328;77.83;300.97;0;0;439.2;0;0;0;0;0;0;210.76;233.93;1916,7;lhd03_rprod_l2_t17_r2_f_lilli_bra;11;rprod_lilli_bra;0;0;correct;1
16;16;LHDP03;LHDP;repetition;r2;t18;ungrouped;NA;0,62;40,93;45,338;0;0;90.118;l2;NA;NA;NA;NA;NA;NA;90.91;0.95;94,22;1,08;flat;4.932;139.54;136.77;0;0;0;0;0;0;0;0;0;259.32;257.09;1529,65;lhd03_rprod_l2_t18_r2_f_leni__nob;11;rprod_leni__nob;0;0;correct;1
17;17;LHDP03;LHDP;repetition;r2;t19;grouped;1,38;9,35;20,386;49,892;0;11,844;96.583;l2;88.3;0.51;95.61;0.41;flat;-13.923;86.42;0.78;148,3;1,08;rise;30.913;60.92;236.99;0;0;214.07;0;0;0;0;0;0;185.16;171.54;1807,46;lhd03_rprod_l2_t19_r2_f_moni__bra;11;rprod_moni__bra;0;0;correct;1
18;18;LHDP03;LHDP;repetition;r2;t20;grouped;5,04;8,65;32,925;57,239;0;9,157;98.456;l2;78.64;0.74;105.19;0.51;fall;-21.95;86.19;0.93;142,02;1,31;rise;23.092;127.28;314.17;0;0;172.37;0;0;0;0;0;0;145.56;197.74;1882,3;lhd03_rprod_l2_t20_r2_f_gabi__bra;11;rprod_gabi__bra;0;0;correct;1
19;19;LHDP03;LHDP;repetition;r2;t21;ungrouped;6,12;1,27;44,544;45,815;0;0;99.711;l2;95.52;0.61;136.02;0.84;rise;26.416;90.44;Jan 37;97,34;1,62;flat;5.024;238.47;163.49;0;0;0;0;0;0;0;0;0;238.98;191.45;1732,56;lhd03_rprod_l2_t21_r2_f_manni_nob;11;rprod_manni_nob;0;0;correct;1
20;20;LHDP03;LHDP;repetition;r2;t22;grouped;2,73;5,95;25,308;53,004;0;16,004;94.429;l2;82.97;0.58;97.16;0.42;fall;-17.18;94.84;0.94;133,72;1,24;rise;19.872;83.34;356.41;0;0;372.2;0;0;0;0;0;0;252.61;198.48;2325,69;lhd03_rprod_l2_t22_r2_f_nelli_bra;11;rprod_nelli_bra;0;0;correct;1
21;21;LHDP03;LHDP;repetition;r2;t23;ungrouped;1,6;5,9;35,654;55,759;0;14,742;98.264;l2;104.03;0.76;114.07;0.84;rise;19. Aug;89.12;Jan 13;125,3;1,42;rise;20.217;62.38;265.04;0;0;244.38;0;0;0;0;0;0;147.32;217.31;1657,76;lhd03_rprod_l2_t23_r2_f_lilli_nob;1;rprod_lilli_nob;0;0;incorrect;0
