reviewer_report_over_due_sent;questionnaire_motivation;reviewer_report_due_reminder_sent;reviewer_user;decline_reasons_other;reviewer_data_protection_consent;report_organization_appropriate;report_id;report_is_anonymized;reviewer_time_consent_response;questionnaire_manuscript_notice_name;reviewer_invitation_accepted_sent;reviewer_priority;reviewer_code;reviewer_invited;questionnaire_relative_review_time;questionnaire_motivation_other;report_supplement_appropriate;questionnaire_reviews_per_year;report_manuscript_appropriate;questionnaire_id;reviewer_time_invited;reviewer_transferwise_consent;reviewer_consent_given;reviewer_debriefing_sent;reviewer_time_report_submitted;reviewer_gs_interests;questionnaire_invitation_track_record;reviewer_report_submitted;reviewer_invitation_reminder_sent;report_new_information;questionnaire_invitation_acceptance;decline_id;reviewer_report_submitted_sent;report_recommendation;reviewer_box;reviewer_time_invitation_response;reviewer_treatment;reviewer_invitation_declined;reviewer_time_review_expired;report_worthy_subject;decline_reasons;reviewer_review_expired;report_conclusions_supported;reviewer_marked_for_deletion;reviewer_review_expired_sent;reviewer_questionnaire_reminder_sent;reviewer_questionnaire_submitted;reviewer_id;questionnaire_manuscript_effort;reviewer_invitation_accepted;reviewer_time_added;questionnaire_invitation_notice_name;questionnaire_manuscript_assessment;questionnaire_manuscript_track_record;questionnaire_manuscript_name_aware;questionnaire_review_hours;reviewer_time_questionnaire_submitted;report_length;confidential_length;report_words;confidential_words;d_topic_not_interesting;d_unfitting_topic;d_know_editor;d_dont_know_editor;d_know_author;d_dont_know_author;d_no_time;d_other;a_interesting;a_fitting_topic;a_know_editor;a_know_author;a_moral_obligation;a_other;reviewer_hindex_bin;reviewer_hindex5y_bin;reviewer_i10index_bin;reviewer_i10index5y_bin;reviewer_citedby_bin;reviewer_citedby5y_bin;reviewer_years_active_bin
0;;0;5587;;0;;;;;;0;9;7Yyw7cYRjomTEvWsXe3dyd;0;;;;;;;;0;0;0;;economy, effiency, productivity, universities;;0;0;;;;0;;6;;hh;0;;;;0;;0;0;0;0;5585;;0;2021-08-04 12:01:17.812926+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;8690;;0;;;;;;0;2;dA4oEtoGfqscDz6tivXQCm;1;;;;;;;2021-08-29 07:11:01.919419+00:00;0;0;0;;international economics / finance, economic development, behavioral economics;;0;0;;;;0;;3;;bb;0;2021-09-09 03:00:00.346401+00:00;;;1;;0;0;0;0;8688;;0;2021-08-04 12:01:29.666277+00:00;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;16;1;2
0;;0;5589;;0;;;;;;0;5;aswHEuXFKoTarRMRbGUnKf;0;;;;;;;;0;0;0;;islamic finance, corporate finance, behavioral finance;;0;0;;;;0;;5;;hh;0;;;;0;;0;0;0;0;5587;;0;2021-08-04 12:01:17.820641+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;['1', '2', '5'];0;5695;;1;4;12;1;2021-08-05 08:03:08.268804+00:00;1;1;1;B5T3hhftCQWHSiHNMU6FX8;1;1;;5;20;5;12;2021-08-04 12:05:56.763694+00:00;1;1;1;2021-08-12 02:06:10.105077+00:00;;;1;0;4;;;1;3;1;2021-08-05 08:02:00.533924+00:00;bh;0;;4;;0;5;0;0;0;1;5693;1;1;2021-08-04 12:01:18.207222+00:00;;3;;;10;2021-08-12 02:09:31.660015+00:00;1757;1342;273;209;;;;;;;;;1;1;0;0;1;0;1;1;1;1;5;1;1
0;;0;5605;;0;;;;;;0;6;TU7uETQWFd73dMqipeMDC7;1;;;;;;;2021-09-22 06:04:09.297345+00:00;0;0;0;;finance;;0;0;;;;0;;5;2021-09-22 06:09:20.651952+00:00;ll;0;;;;0;;0;0;0;0;5603;;0;2021-08-04 12:01:17.878369+00:00;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;2;84;3;3
0;;0;5573;;0;;;;;;0;15;Tna7FVw42UUo3iUD4tJAQV;0;;;;;;;;0;0;0;;managerial accounting, sustainability accounting;;0;0;;;;0;;8;;ll;0;;;;0;;0;0;0;0;5571;;0;2021-08-04 12:01:17.753316+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5575;;0;;;;;;0;6;TXh5Xhj7A3jFcSsRoyZEPo;0;;;;;;;;0;0;0;;finance, economics;;0;0;;;;0;;6;;bh;0;;;;0;;0;0;0;0;5573;;0;2021-08-04 12:01:17.767899+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5576;;0;;;;;;0;15;NwLSs2yw2bZ3jxxe3nZWdK;0;;;;;;;;0;0;0;;game theory, microeconomic theory, information economics;;0;0;;;;0;;7;;bb;0;;;;0;;0;0;0;0;5574;;0;2021-08-04 12:01:17.771666+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5577;;0;;;;;;0;7;aF8TreTH92LosXB9PkZsWM;0;;;;;;;;0;0;0;;stock market efficiency, behavioural finance, corporate finance;;0;0;;;;0;;5;;hh;0;;;;0;;0;0;0;0;5575;;0;2021-08-04 12:01:17.775428+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5578;;0;;;;;;0;17;YASVmkeAM47cqrs3bWpNEJ;0;;;;;;;;0;0;0;;investments, performance evaluation, empirical asset pricing;;0;0;;;;0;;8;;ll;0;;;;0;;0;0;0;0;5576;;0;2021-08-04 12:01:17.779098+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5579;;0;;;;;;0;6;oF3QhqR4xePjH7erTcLQNw;0;;;;;;;;0;0;0;;finance;;0;0;;;;0;;5;;hh;0;;;;0;;0;0;0;0;5577;;0;2021-08-04 12:01:17.783250+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5915;;0;;;;;;0;1;G9mbANZYYwYBgdzwPq5Xat;1;;;;;;;2021-08-04 12:05:56.763694+00:00;0;0;0;;;;0;0;;;14;0;;1;2021-08-04 13:09:31.340540+00:00;hh;1;;;['2'];0;;0;0;0;0;5913;;0;2021-08-04 12:01:19.071938+00:00;;;;;;;;;;;0;1;0;0;0;0;0;0;;;;;;;1;1;1;1;2;1;1
0;;0;5581;;0;;;;;;0;5;T5tBivhd6Tfarkvj7GvVK3;0;;;;;;;;0;0;0;;entrepreneurship, behavioral economics, entrepreneurial finance;;0;0;;;;0;;4;;bb;0;;;;0;;0;0;0;0;5579;;0;2021-08-04 12:01:17.791710+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5582;;0;;;;;;0;7;BrUepTEnWSZsg7g2LoGDUc;0;;;;;;;;0;0;0;;quantum computing, query complexity, quantum finite automata, communication complexity;;0;0;;;;0;;5;;bl;0;;;;0;;0;0;0;0;5580;;0;2021-08-04 12:01:17.795172+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5583;;0;;;;;;0;9;gJHvZPVXsdcWPU2y4ngN4u;0;;;;;;;;0;0;0;;international economics and finance, stock-bond comovement, real estate finance, china's economy and financial markets;;0;0;;;;0;;6;;bb;0;;;;0;;0;0;0;0;5581;;0;2021-08-04 12:01:17.798701+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5584;;0;;;;;;0;20;RwfHZEJJYH5P9ZfMBpubjP;0;;;;;;;;0;0;0;;auditing, corporate governance;;0;0;;;;0;;8;;hh;0;;;;0;;0;0;0;0;5582;;0;2021-08-04 12:01:17.802254+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5585;;0;;;;;;0;11;3sdvMejxu6hBJ2rNWBvTT3;0;;;;;;;;0;0;0;;rynki kapitałowe, finanse przedsiębiorstw, finance, capital market, corporate finance;;0;0;;;;0;;7;;bl;0;;;;0;;0;0;0;0;5583;;0;2021-08-04 12:01:17.805833+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5594;Dear Editor,;0;;;;;;0;3;6ioiZi6YTBJ9dTnGEodvB6;1;;;;;;;2021-09-22 06:03:31.646788+00:00;0;0;0;;;;0;0;;;1600;0;;3;2021-09-23 08:43:14.188239+00:00;hh;1;;;['2', '9'];0;;0;0;0;0;5592;;0;2021-08-04 12:01:17.838546+00:00;;;;;;;;;;;0;1;0;0;0;0;0;1;;;;;;;1;1;1;1;1;1;1
0;;0;5590;;0;;;;;;0;2;kvehoYzDudYQUWxefF8hLn;1;;;;;;;2021-08-21 13:28:52.240181+00:00;0;0;0;;entrepreneurship;;0;0;;;606;0;;2;2021-08-21 14:49:07.513651+00:00;bh;1;;;['7'];0;;0;0;0;0;5588;;0;2021-08-04 12:01:17.824179+00:00;;;;;;;;;;;0;0;0;0;0;0;1;0;;;;;;;1;1;2;1;34;1;3
0;;0;6143;;0;;;;;;0;1;RGn54iHv7uiSvKeUZEDupU;1;;;;;;;2021-08-09 12:13:23.537486+00:00;0;0;0;;;;0;0;;;;0;;1;2021-08-16 07:00:40.577850+00:00;bl;0;;;;0;;0;0;0;0;6141;;1;2021-08-04 12:01:19.908772+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5597;;0;;;;;;0;16;KmJu9FrYmdVEauy3D8PQS4;0;;;;;;;;0;0;0;;financial markets, sovereign risk, applied econometrics, finance economy nexus, monetary policy;;0;0;;;;0;;8;;hh;0;;;;0;;0;0;0;0;5595;;0;2021-08-04 12:01:17.849314+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;8096;;0;;;;;;0;1;c8q2pqKFFsYEbhq8hvBca7;1;;;;;;;2021-08-11 08:05:29.154822+00:00;0;0;0;;financial econometrics, portfolio optimization, risk management, forecasting, mutual funds;;0;0;;;548;0;;3;2021-08-19 07:00:21.103819+00:00;bl;1;;;['2'];0;;0;0;0;0;8094;;0;2021-08-04 12:01:27.403035+00:00;;;;;;;;;;;0;1;0;0;0;0;0;0;;;;;;;1;1;2;1;39;1;4
0;;0;5588;;0;;;;;;0;3;5H7nwxzHSJCQbvjTXwGwas;1;;;;;;;2021-08-31 06:53:55.920030+00:00;0;0;0;;;;0;0;;;;0;;3;2021-08-31 06:54:21.830932+00:00;bl;0;;;;0;;0;0;0;0;5586;;0;2021-08-04 12:01:17.816423+00:00;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;18;1;2
0;;0;5599;;0;;;;;;0;17;TTaVPuJpHfVjy52rBxnmuy;0;;;;;;;;0;0;0;;corporate finance, corporate governance, corporate social responsibility, capital structure, dividend policy;;0;0;;;;0;;8;;ll;0;;;;0;;0;0;0;0;5597;;0;2021-08-04 12:01:17.856410+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5603;;0;;;;;;0;4;kfDbsfuVV33cLYJgyp34A6;1;;;;;;;2021-09-13 08:14:51.606827+00:00;0;0;0;;real estate, housing;;0;0;;;;0;;4;2021-09-13 08:15:19.235935+00:00;ll;0;;;;0;;0;0;0;0;5601;;0;2021-08-04 12:01:17.871390+00:00;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;28;1;1
0;;0;5601;;0;;;;;;0;8;g9bDWRuvTJ4C2aFRqFfYtF;0;;;;;;;;0;0;0;;machine learning, forecasting, quantitative finance, operations research, econometrics;;0;0;;;;0;;6;;bb;0;;;;0;;0;0;0;0;5599;;0;2021-08-04 12:01:17.863554+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5608;;0;;;;;;0;6;f3AkthJN6vFraMLHKDrwkK;1;;;;;;;2021-09-22 06:04:09.297345+00:00;0;0;0;;applied econometrics;;0;0;;;1523;0;;7;2021-09-22 07:12:28.759577+00:00;ll;1;;;['2', '7'];0;;0;0;0;0;5606;;0;2021-08-04 12:01:17.889020+00:00;;;;;;;;;;;0;1;0;0;0;0;1;0;;;;;;;4;3;7;5;81;4;3
0;;0;5591;;0;;;;;;0;3;bji5wQWdLWGtRC8uAZkZNj;1;;;;;;;2021-09-22 06:03:31.646788+00:00;0;0;0;;applied econometrics, financial economics and islamic economics;;0;0;;;;0;;3;;hh;0;2021-10-03 03:00:00.050957+00:00;;;1;;0;0;0;0;5589;;0;2021-08-04 12:01:17.827710+00:00;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;20;1;2
0;;0;5604;;0;;;;;;0;3;NHCL4nmwQqQn4Ft7hgVRtc;1;;;;;;;2021-08-26 07:38:14.416681+00:00;0;0;0;;mathematical finance, stochastic processes;;0;0;;;881;0;;3;2021-09-10 10:16:35.902957+00:00;ll;1;;;['2', '4', '6', '7'];0;;0;0;0;0;5602;;0;2021-08-04 12:01:17.874889+00:00;;;;;;;;;;;0;1;0;1;0;1;1;0;;;;;;;2;2;4;2;75;2;4
0;;0;5602;;0;;;;;;0;5;UktDFUJWCWF4pgya6vtDp6;1;;;;;;;2021-09-22 06:05:05.641729+00:00;0;0;0;;;;0;0;;;1581;0;;5;2021-09-22 17:59:11.747151+00:00;bl;1;;;['2', '7'];0;;0;0;0;0;5600;;0;2021-08-04 12:01:17.867848+00:00;;;;;;;;;;;0;1;0;0;0;0;1;0;;;;;;;1;1;1;1;3;1;2
0;;0;5606;;0;;;;;;0;8;8jRvfeqVnuUu7FezwPhFFi;0;;;;;;;;0;0;0;;behavioral finance, asset pricing, corporate finance, computational economics.;;0;0;;;;0;;6;;bb;0;;;;0;;0;0;0;0;5604;;0;2021-08-04 12:01:17.881876+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5607;;0;;;;;;0;12;dqm9rpmEBdiGnFfnpu9cBB;0;;;;;;;;0;0;0;;finance, financial economics, mathematical finance;;0;0;;;;0;;7;;hh;0;;;;0;;0;0;0;0;5605;;0;2021-08-04 12:01:17.885406+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;['1', '2', '9'];0;5593;;1;1;271;1;2021-08-21 14:42:45.786296+00:00;0;1;2;C5eipgDKNvVmgxLqgukNot;1;3;;1;20;2;242;2021-08-21 13:29:17.188631+00:00;1;1;1;2021-09-19 15:18:46.997149+00:00;economics, finance;;1;0;1;;;1;1;3;2021-08-21 14:40:19.197795+00:00;bl;0;;2;;0;1;0;0;0;1;5591;;1;2021-08-04 12:01:17.834741+00:00;;;;;30;2021-09-19 15:20:56.557542+00:00;6163;179;973;32;;;;;;;;;1;1;0;0;0;1;1;1;1;1;6;1;2
0;;0;5609;;0;;;;;;0;20;7Q46f3JnxBnLdtT3yD6fEo;0;;;;;;;;0;0;0;;economics, finance;;0;0;;;;0;;8;;bl;0;;;;0;;0;0;0;0;5607;;0;2021-08-04 12:01:17.892961+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;0;5610;;0;;;;;;0;11;hdqwWGtUwNgTZbjWE2tWKA;0;;;;;;;;0;0;0;;empirical asset pricing, capital markets;;0;0;;;;0;;6;;bl;0;;;;0;;0;0;0;0;5608;;0;2021-08-04 12:01:17.896541+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
