participant	item	semantic_congruency	register_congruency	rating
1	3	no	match	2
1	4	no	match	2
1	2	no	match	2
1	9	yes	mismatch	5
1	10	yes	mismatch	4
1	1	no	match	2
1	5	no	match	2
1	6	yes	mismatch	7
1	7	yes	mismatch	1
1	8	yes	mismatch	4
1	11	no	match	4
1	12	no	match	2
1	19	yes	mismatch	7
1	17	yes	mismatch	7
1	18	yes	mismatch	6
1	13	no	match	2
1	14	no	match	2
1	15	no	match	1
1	16	yes	mismatch	7
1	20	yes	mismatch	4
1	25	yes	match	6
1	21	yes	match	2
1	26	no	mismatch	2
1	27	no	mismatch	5
1	28	no	mismatch	1
1	22	yes	match	6
1	23	yes	match	7
1	24	yes	match	7
1	29	no	mismatch	1
1	30	no	mismatch	1
1	33	yes	match	6
1	34	yes	match	6
1	35	yes	match	1
1	36	no	mismatch	1
1	40	no	mismatch	2
1	31	yes	match	5
1	32	yes	match	5
1	37	no	mismatch	1
1	38	no	mismatch	1
1	39	no	mismatch	2
2	3	no	match	2
2	4	no	match	1
2	2	no	match	2
2	9	yes	mismatch	4
2	10	yes	mismatch	2
2	1	no	match	6
2	5	no	match	4
2	6	yes	mismatch	5
2	7	yes	mismatch	3
2	8	yes	mismatch	6
2	11	no	match	3
2	12	no	match	4
2	19	yes	mismatch	7
2	17	yes	mismatch	5
2	18	yes	mismatch	5
2	13	no	match	4
2	14	no	match	2
2	15	no	match	3
2	16	yes	mismatch	7
2	20	yes	mismatch	5
2	25	yes	match	4
2	21	yes	match	5
2	26	no	mismatch	3
2	27	no	mismatch	3
2	28	no	mismatch	1
2	22	yes	match	7
2	23	yes	match	6
2	24	yes	match	6
2	29	no	mismatch	2
2	30	no	mismatch	2
2	33	yes	match	4
2	34	yes	match	6
2	35	yes	match	2
2	36	no	mismatch	1
2	40	no	mismatch	3
2	31	yes	match	3
2	32	yes	match	4
2	37	no	mismatch	2
2	38	no	mismatch	2
2	39	no	mismatch	4
9	19	no	mismatch	1
9	11	yes	match	7
9	12	yes	match	7
9	17	no	mismatch	7
9	18	no	mismatch	1
9	13	yes	match	7
9	14	yes	match	7
9	15	yes	match	7
9	16	no	mismatch	1
9	20	no	mismatch	1
9	21	yes	match	1
9	25	yes	match	3
9	26	no	mismatch	2
9	27	no	mismatch	2
9	28	no	mismatch	3
9	29	no	mismatch	1
9	22	yes	match	6
9	23	yes	match	7
9	24	yes	match	7
9	30	no	mismatch	2
9	33	no	match	2
9	34	no	match	1
9	36	yes	mismatch	2
9	37	yes	mismatch	6
9	35	no	match	1
9	39	yes	mismatch	3
9	38	yes	mismatch	7
9	40	yes	mismatch	7
9	32	no	match	1
9	31	no	match	3
9	10	yes	mismatch	7
9	2	no	match	2
9	3	no	match	3
9	9	yes	mismatch	7
9	4	no	match	1
9	1	no	match	1
9	6	yes	mismatch	7
9	7	yes	mismatch	7
9	5	no	match	1
9	8	yes	mismatch	7
24	19	no	mismatch	1
24	11	yes	match	7
24	12	yes	match	7
24	17	no	mismatch	7
24	18	no	mismatch	4
24	13	yes	match	7
24	14	yes	match	7
24	15	yes	match	7
24	16	no	mismatch	2
24	20	no	mismatch	4
24	21	yes	match	4
24	25	yes	match	7
24	26	no	mismatch	4
24	27	no	mismatch	3
24	28	no	mismatch	3
24	29	no	mismatch	3
24	22	yes	match	7
24	23	yes	match	7
24	24	yes	match	7
24	30	no	mismatch	3
24	33	no	match	2
24	34	no	match	3
24	36	yes	mismatch	7
24	37	yes	mismatch	7
24	35	no	match	3
24	39	yes	mismatch	7
24	38	yes	mismatch	7
24	40	yes	mismatch	7
24	32	no	match	3
24	31	no	match	2
24	10	yes	mismatch	7
24	2	no	match	4
24	3	no	match	7
24	9	yes	mismatch	7
24	4	no	match	3
24	1	no	match	3
24	6	yes	mismatch	7
24	7	yes	mismatch	7
24	5	no	match	3
24	8	yes	mismatch	7
14	27	no	mismatch	1
14	21	yes	match	7
14	25	yes	match	5
14	26	no	mismatch	1
14	28	no	mismatch	1
14	22	yes	match	7
14	30	no	mismatch	1
14	29	no	mismatch	1
14	23	yes	match	7
14	24	yes	match	7
14	33	yes	match	6
14	34	yes	match	7
14	36	no	mismatch	1
14	37	no	mismatch	1
14	35	yes	match	4
14	31	yes	match	1
14	39	no	mismatch	1
14	32	yes	match	1
14	40	no	mismatch	1
14	38	no	mismatch	1
14	1	no	match	1
14	2	no	match	1
14	3	no	match	4
14	9	yes	mismatch	7
14	10	yes	mismatch	5
14	4	no	match	1
14	5	no	match	5
14	6	yes	mismatch	5
14	7	yes	mismatch	1
14	8	yes	mismatch	7
14	11	no	match	1
14	19	yes	mismatch	7
