subj_ID,subj_sex,item_ID,item_cat,resp,(Intercept),sex1,cat1,sex1:cat1
1,M,1,A,0,1,-1,1,-1
1,M,2,A,0,1,-1,1,-1
1,M,3,A,1,1,-1,1,-1
1,M,4,A,0,1,-1,1,-1
1,M,5,A,0,1,-1,1,-1
1,M,6,A,1,1,-1,1,-1
1,M,7,A,1,1,-1,1,-1
1,M,8,A,0,1,-1,1,-1
1,M,9,A,1,1,-1,1,-1
1,M,10,B,0,1,-1,-1,1
1,M,11,B,0,1,-1,-1,1
1,M,12,B,0,1,-1,-1,1
1,M,13,B,0,1,-1,-1,1
1,M,14,B,0,1,-1,-1,1
1,M,15,B,1,1,-1,-1,1
1,M,16,B,1,1,-1,-1,1
1,M,17,B,1,1,-1,-1,1
1,M,18,B,1,1,-1,-1,1
2,M,1,A,0,1,-1,1,-1
2,M,2,A,0,1,-1,1,-1
2,M,3,A,0,1,-1,1,-1
2,M,4,A,0,1,-1,1,-1
2,M,5,A,0,1,-1,1,-1
2,M,6,A,1,1,-1,1,-1
2,M,7,A,1,1,-1,1,-1
2,M,8,A,0,1,-1,1,-1
2,M,9,A,0,1,-1,1,-1
2,M,10,B,0,1,-1,-1,1
2,M,11,B,1,1,-1,-1,1
2,M,12,B,0,1,-1,-1,1
2,M,13,B,0,1,-1,-1,1
2,M,14,B,0,1,-1,-1,1
2,M,15,B,1,1,-1,-1,1
2,M,16,B,0,1,-1,-1,1
2,M,17,B,0,1,-1,-1,1
2,M,18,B,0,1,-1,-1,1
3,M,1,A,0,1,-1,1,-1
3,M,2,A,1,1,-1,1,-1
3,M,3,A,1,1,-1,1,-1
3,M,4,A,0,1,-1,1,-1
3,M,5,A,0,1,-1,1,-1
3,M,6,A,0,1,-1,1,-1
3,M,7,A,0,1,-1,1,-1
3,M,8,A,0,1,-1,1,-1
3,M,9,A,0,1,-1,1,-1
3,M,10,B,0,1,-1,-1,1
3,M,11,B,0,1,-1,-1,1
3,M,12,B,0,1,-1,-1,1
3,M,13,B,0,1,-1,-1,1
3,M,14,B,0,1,-1,-1,1
3,M,15,B,0,1,-1,-1,1
3,M,16,B,0,1,-1,-1,1
3,M,17,B,0,1,-1,-1,1
3,M,18,B,0,1,-1,-1,1
4,M,1,A,1,1,-1,1,-1
4,M,2,A,1,1,-1,1,-1
4,M,3,A,1,1,-1,1,-1
4,M,4,A,0,1,-1,1,-1
4,M,5,A,0,1,-1,1,-1
4,M,6,A,1,1,-1,1,-1
4,M,7,A,1,1,-1,1,-1
4,M,8,A,1,1,-1,1,-1
4,M,9,A,0,1,-1,1,-1
4,M,10,B,0,1,-1,-1,1
4,M,11,B,1,1,-1,-1,1
4,M,12,B,1,1,-1,-1,1
4,M,13,B,0,1,-1,-1,1
4,M,14,B,1,1,-1,-1,1
4,M,15,B,0,1,-1,-1,1
4,M,16,B,0,1,-1,-1,1
4,M,17,B,1,1,-1,-1,1
4,M,18,B,0,1,-1,-1,1
5,M,1,A,0,1,-1,1,-1
5,M,2,A,1,1,-1,1,-1
5,M,3,A,1,1,-1,1,-1
5,M,4,A,0,1,-1,1,-1
5,M,5,A,0,1,-1,1,-1
5,M,6,A,1,1,-1,1,-1
5,M,7,A,0,1,-1,1,-1
5,M,8,A,1,1,-1,1,-1
5,M,9,A,0,1,-1,1,-1
5,M,10,B,0,1,-1,-1,1
5,M,11,B,1,1,-1,-1,1
5,M,12,B,0,1,-1,-1,1
5,M,13,B,1,1,-1,-1,1
5,M,14,B,1,1,-1,-1,1
5,M,15,B,1,1,-1,-1,1
5,M,16,B,0,1,-1,-1,1
5,M,17,B,0,1,-1,-1,1
5,M,18,B,1,1,-1,-1,1
6,M,1,A,1,1,-1,1,-1
6,M,2,A,0,1,-1,1,-1
6,M,3,A,1,1,-1,1,-1
6,M,4,A,1,1,-1,1,-1
6,M,5,A,0,1,-1,1,-1
6,M,6,A,1,1,-1,1,-1
6,M,7,A,0,1,-1,1,-1
6,M,8,A,1,1,-1,1,-1
6,M,9,A,0,1,-1,1,-1
6,M,10,B,0,1,-1,-1,1
6,M,11,B,1,1,-1,-1,1
6,M,12,B,1,1,-1,-1,1
6,M,13,B,0,1,-1,-1,1
6,M,14,B,0,1,-1,-1,1
6,M,15,B,1,1,-1,-1,1
6,M,16,B,0,1,-1,-1,1
6,M,17,B,1,1,-1,-1,1
6,M,18,B,1,1,-1,-1,1
7,M,1,A,0,1,-1,1,-1
7,M,2,A,1,1,-1,1,-1
7,M,3,A,1,1,-1,1,-1
7,M,4,A,0,1,-1,1,-1
7,M,5,A,0,1,-1,1,-1
7,M,6,A,1,1,-1,1,-1
7,M,7,A,1,1,-1,1,-1
7,M,8,A,1,1,-1,1,-1
7,M,9,A,0,1,-1,1,-1
7,M,10,B,0,1,-1,-1,1
7,M,11,B,0,1,-1,-1,1
7,M,12,B,0,1,-1,-1,1
7,M,13,B,1,1,-1,-1,1
7,M,14,B,0,1,-1,-1,1
7,M,15,B,1,1,-1,-1,1
7,M,16,B,0,1,-1,-1,1
7,M,17,B,1,1,-1,-1,1
7,M,18,B,0,1,-1,-1,1
8,M,1,A,1,1,-1,1,-1
8,M,2,A,0,1,-1,1,-1
8,M,3,A,1,1,-1,1,-1
8,M,4,A,0,1,-1,1,-1
8,M,5,A,1,1,-1,1,-1
8,M,6,A,1,1,-1,1,-1
8,M,7,A,1,1,-1,1,-1
8,M,8,A,0,1,-1,1,-1
8,M,9,A,1,1,-1,1,-1
8,M,10,B,0,1,-1,-1,1
8,M,11,B,1,1,-1,-1,1
8,M,12,B,0,1,-1,-1,1
8,M,13,B,1,1,-1,-1,1
8,M,14,B,0,1,-1,-1,1
8,M,15,B,0,1,-1,-1,1
8,M,16,B,0,1,-1,-1,1
8,M,17,B,1,1,-1,-1,1
8,M,18,B,1,1,-1,-1,1
9,M,1,A,1,1,-1,1,-1
9,M,2,A,1,1,-1,1,-1
9,M,3,A,1,1,-1,1,-1
9,M,4,A,1,1,-1,1,-1
9,M,5,A,1,1,-1,1,-1
9,M,6,A,1,1,-1,1,-1
9,M,7,A,1,1,-1,1,-1
9,M,8,A,1,1,-1,1,-1
9,M,9,A,1,1,-1,1,-1
9,M,10,B,0,1,-1,-1,1
9,M,11,B,1,1,-1,-1,1
9,M,12,B,0,1,-1,-1,1
9,M,13,B,1,1,-1,-1,1
9,M,14,B,1,1,-1,-1,1
9,M,15,B,1,1,-1,-1,1
9,M,16,B,1,1,-1,-1,1
9,M,17,B,1,1,-1,-1,1
9,M,18,B,1,1,-1,-1,1
10,F,1,A,1,1,1,1,1
10,F,2,A,1,1,1,1,1
10,F,3,A,1,1,1,1,1
10,F,4,A,1,1,1,1,1
10,F,5,A,0,1,1,1,1
10,F,6,A,1,1,1,1,1
10,F,7,A,1,1,1,1,1
10,F,8,A,1,1,1,1,1
10,F,9,A,1,1,1,1,1
10,F,10,B,1,1,1,-1,-1
