Participant;Phase;Familiarity;LT;PC1;PC2;PC3
10;familiarization;famphase;1,1652343;-0,572372603;-0,091966543;-2,25027054
10;familiarization;famphase;2,652;-0,572372603;-0,091966543;-2,25027054
10;familiarization;famphase;15,2616226;-0,572372603;-0,091966543;-2,25027054
10;familiarization;famphase;11,6764262;-0,572372603;-0,091966543;-2,25027054
10;testing;novel;5,494;-0,572372603;-0,091966543;-2,25027054
10;testing;familiar;5,494;-0,572372603;-0,091966543;-2,25027054
10;testing;familiar;13,3211579;-0,572372603;-0,091966543;-2,25027054
10;testing;novel;26,737395;-0,572372603;-0,091966543;-2,25027054
10;testing;familiar;6,310315;-0,572372603;-0,091966543;-2,25027054
10;testing;familiar;3,6382873;-0,572372603;-0,091966543;-2,25027054
10;testing;novel;9,7232146;-0,572372603;-0,091966543;-2,25027054
10;testing;familiar;12,6264538;-0,572372603;-0,091966543;-2,25027054
10;testing;familiar;4,205856;-0,572372603;-0,091966543;-2,25027054
14;familiarization;famphase;18,3263287;-0,464867422;-0,007801629;0,461776807
14;familiarization;famphase;17,859744;-0,464867422;-0,007801629;0,461776807
14;familiarization;famphase;11,0564345;-0,464867422;-0,007801629;0,461776807
14;familiarization;famphase;16,6363289;-0,464867422;-0,007801629;0,461776807
14;testing;novel;4,0784788;-0,464867422;-0,007801629;0,461776807
14;testing;familiar;29,0488488;-0,464867422;-0,007801629;0,461776807
14;testing;familiar;31,3033172;-0,464867422;-0,007801629;0,461776807
14;testing;novel;27,0276995;-0,464867422;-0,007801629;0,461776807
14;testing;familiar;14,02;-0,464867422;-0,007801629;0,461776807
14;testing;novel;15,1280041;-0,464867422;-0,007801629;0,461776807
14;testing;novel;3,136;-0,464867422;-0,007801629;0,461776807
14;testing;familiar;2,2173935;-0,464867422;-0,007801629;0,461776807
14;testing;novel;2,2761208;-0,464867422;-0,007801629;0,461776807
14;testing;familiar;2,6401034;-0,464867422;-0,007801629;0,461776807
14;testing;familiar;2,544626;-0,464867422;-0,007801629;0,461776807
14;testing;novel;3,1411543;-0,464867422;-0,007801629;0,461776807
17;familiarization;famphase;13,6746459;-0,305710889;0,613466844;-0,295576865
17;familiarization;famphase;10,2670336;-0,305710889;0,613466844;-0,295576865
